Protein;Np;Young WT 1;Young WT 2;Old WT 1;Old WT 2;Ht pro 1;Ht pro 2;Hm pro 1;Hm pro 2;Mean z Young WT;Mean z Old WT;Mean z Ht pro;Mean z Hm pro;∆ mean z Old WT;∆ mean z Ht pro;∆ mean z Hm pro;P value Old WT;P value Ht pro;P value Hm pro;Change Old WT;Change Ht pro;Change Hm pro;Artifact
>sp|Q6P5G6|UBXN7_MOUSE UBX domain-containing protein 7 OS=Mus musculus GN=Ubxn7 PE=1 SV=2;1;-0.974797727;0.934883872;-0.302710984;0.202173796;-0.068273595;0.938825665;0.863919595;0.471384931;-0.0199569275;-0.050268594;0.435276035;0.667652263;-0.0303116665;0.4552329625;0.6876091905;0.969252343291852;0.56734658314041;0.39465529757469;0;0;0;FALSE
>sp|Q80TY0|FNBP1_MOUSE Formin-binding protein 1 OS=Mus musculus GN=Fnbp1 PE=1 SV=2;9;-0.379217411;0.453543688;-0.182009673;0.193535839;0.508242497;-1.330149369;-1.303748275;-0.341599501;0.0371631385;0.00576308299999999;-0.410953436;-0.822673888;-0.0314000555;-0.4481165745;-0.8598370265;0.96828233555776;0.57484891169558;0.29585840289878;0;0;0;FALSE
>sp|Q5SUF2|LC7L3_MOUSE Luc7-like protein 3 OS=Mus musculus GN=Luc7l3 PE=1 SV=1;3;-0.766722392;0.798015451;0.364804468;-0.396816902;-0.454705258;-0.487919783;1.234075763;0.617332669;0.0156465295;-0.016006217;-0.4713125205;0.925704216;-0.0316527465;-0.48695905;0.9100576865;0.964095424332546;0.496009507432549;0.221091014736176;0;0;0;FALSE
>tr|V9GXM1|V9GXM1_MOUSE ADP-ribosylation factor GTPase-activating protein 1 OS=Mus musculus GN=Arfgap1 PE=1 SV=1;1;-0.960047885;0.938138407;-0.524990466;0.439493617;-0.954546073;-1.253033618;0.296890585;-0.119213473;-0.010954739;-0.0427484245;-1.1037898455;0.088838556;-0.0317936854999999;-1.0928351065;0.099793295;0.967202096756108;0.185738584006132;0.897367108832958;0;0;0;FALSE
>sp|Q6PNC0|DMXL1_MOUSE DmX-like protein 1 OS=Mus musculus GN=Dmxl1 PE=1 SV=1;7;1.162411287;-1.035820786;-0.283254321;0.345472094;0.911376115;1.249455324;0.962631122;0.715097477;0.0632952505000001;0.0311088865;1.0804157195;0.8388642995;-0.0321863640000001;1.017120469;0.775569049;0.967988713374424;0.229580886192485;0.349267787336974;0;0;0;FALSE
>tr|Q3UWL8|Q3UWL8_MOUSE Prefoldin subunit 4 OS=Mus musculus GN=Pfdn4 PE=1 SV=1;6;0.940031198;-0.967852395;-0.478955713;0.386337058;0.656327117;0.574883265;-0.137729906;1.345814411;-0.0139105985;-0.0463093275;0.615605191;0.6040422525;-0.032398729;0.6295157895;0.617952851;0.969800105719489;0.470555092284054;0.478445347802028;0;0;0;FALSE
>sp|Q8R4E6|PURG_MOUSE Purine-rich element-binding protein gamma OS=Mus musculus GN=Purg PE=1 SV=1;4;-1.400791255;1.231373775;0.653313659;-0.887691066;-0.779972513;0.501248284;1.46037355;-0.028243902;-0.08470874;-0.1171887035;-0.1393621145;0.716064824;-0.0324799635;-0.0546533745000001;0.800773564;0.976564482686044;0.960578210143617;0.47718945341711;0;0;0;FALSE
>sp|Q9CQA9|NTPCR_MOUSE Cancer-related nucleoside-triphosphatase homolog OS=Mus musculus GN=Ntpcr PE=1 SV=1;1;-1.96524183;1.732279423;-0.029508982;-0.268467213;-1.226929812;-1.694633322;0.298365445;-0.845215401;-0.1164812035;-0.1489880975;-1.460781567;-0.273424978;-0.032506894;-1.3443003635;-0.1569437745;0.977914991657348;0.273655747708649;0.893742806682644;0;0;0;FALSE
>sp|Q61006|MUSK_MOUSE Muscle, skeletal receptor tyrosine-protein kinase OS=Mus musculus GN=Musk PE=1 SV=1;1;1.860174661;-2.056601935;-0.550948135;0.289330534;0.664414238;0.799519939;-0.924536498;1.382056512;-0.0982136370000001;-0.1308088005;0.7319670885;0.228760007;-0.0325951634999999;0.8301807255;0.326973644;0.980811440673922;0.54560135783079;0.809741204224501;0;0;0;FALSE
>sp|Q6NVF9|CPSF6_MOUSE Cleavage and polyadenylation specificity factor subunit 6 OS=Mus musculus GN=Cpsf6 PE=1 SV=1;4;0.985074829;-0.99395188;-0.187900668;0.113099912;0.379072237;-0.006563663;0.526784608;0.92713645;-0.00443852550000001;-0.037400378;0.186254287;0.726960529;-0.0329618525;0.1906928125;0.7313990545;0.964932598977403;0.799680098295382;0.345287891750178;0;0;0;FALSE
>sp|P60670|NPL4_MOUSE Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3;9;-0.449929915;0.422189581;0.16807543;-0.263122973;0.62042222;0.117141751;-0.21934843;-0.278436265;-0.013870167;-0.0475237715;0.3687819855;-0.2488923475;-0.0336536045;0.3826521525;-0.2350221805;0.953261729985463;0.511843833856872;0.684102299673075;0;0;0;FALSE
>tr|G3UZI2|G3UZI2_MOUSE Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=1;1;-1.093928433;1.041521908;0.213653598;-0.334861636;-0.519154203;-0.261023876;-0.276140362;-0.130014373;-0.0262032625;-0.060604019;-0.3900890395;-0.2030773675;-0.0344007565;-0.363885777;-0.176874105;0.964849670920347;0.643713494332871;0.821068143782967;0;0;0;FALSE
>tr|Q2M4G1|Q2M4G1_MOUSE Metaxin 2 OS=Mus musculus GN=Mtx2 PE=4 SV=1;1;0.007993089;0.022571707;0.060861762;-0.100403319;0.124832919;-0.700028562;0.039649456;-0.373051229;0.015282398;-0.0197707785;-0.2875978215;-0.1667008865;-0.0350531765;-0.3028802195;-0.1819832845;0.949418098948122;0.58762104340812;0.742845903624118;0;0;0;FALSE
>sp|Q9R0P3|ESTD_MOUSE S-formylglutathione hydrolase OS=Mus musculus GN=Esd PE=1 SV=1;10;0.279691271;-0.337260866;-0.487694154;0.359814382;0.121041241;-0.418947768;-0.247848519;-0.195388032;-0.0287847975;-0.063939886;-0.1489532635;-0.2216182755;-0.0351550885;-0.120168466;-0.192833478;0.952195621935326;0.837858501078363;0.743228361593217;0;0;0;FALSE
>sp|Q8CCF0|PRP31_MOUSE U4/U6 small nuclear ribonucleoprotein Prp31 OS=Mus musculus GN=Prpf31 PE=1 SV=3;2;-1.265464636;1.21421654;0.068914735;-0.19081886;0.292606372;0.645735235;2.104541119;-1.536773184;-0.025624048;-0.0609520625;0.4691708035;0.2838839675;-0.0353280145;0.4947948515;0.3095080155;0.978404626069377;0.706064891041354;0.81291392625682;0;0;0;FALSE
>tr|Q1HL32|Q1HL32_MOUSE Structural maintenance of chromosomes protein OS=Mus musculus GN=Smc3 PE=1 SV=1;7;-0.365704316;0.352344075;-0.170469256;0.085756048;-0.153519115;-0.96179856;0.370988447;0.057209093;-0.0066801205;-0.042356604;-0.5576588375;0.21409877;-0.0356764835;-0.550978717;0.2207788905;0.951167761777005;0.359263745454748;0.706140141626142;0;0;0;FALSE
>sp|Q0GA42|CNNM1_MOUSE Metal transporter CNNM1 OS=Mus musculus GN=Cnnm1 PE=1 SV=5;3;-1.247260559;1.170246916;0.821434037;-0.969858098;-0.668508244;-0.816535788;0.82543311;0.090125236;-0.0385068215000001;-0.0742120305;-0.742522016;0.457779173;-0.035705209;-0.7040151945;0.4962859945;0.970897099934526;0.480060048184122;0.615377522165465;0;0;0;FALSE
>sp|O09167|RL21_MOUSE 60S ribosomal protein L21 OS=Mus musculus GN=Rpl21 PE=1 SV=3;4;1.289710786;-1.32305032;-0.298921489;0.193691455;0.883509231;0.106087744;0.020735862;0.849399947;-0.0166697669999999;-0.052615017;0.4947984875;0.4350679045;-0.0359452500000001;0.5114682545;0.4517376715;0.969154059117406;0.586261757766334;0.629916403769063;0;0;0;FALSE
>sp|Q14C51|PTCD3_MOUSE Pentatricopeptide repeat domain-containing protein 3, mitochondrial OS=Mus musculus GN=Ptcd3 PE=1 SV=2;5.5;-0.079942164;0.126086168;-0.071981572;0.045999688;0.367068688;1.557977082;0.878030794;0.821097986;0.023072002;-0.012990942;0.962522885;0.84956439;-0.036062944;0.939450883;0.826492388;0.951406853957938;0.143149501800931;0.190341205962001;0;0;0;FALSE
>sp|Q91VU0|FAM3C_MOUSE Protein FAM3C OS=Mus musculus GN=Fam3c PE=1 SV=1;1;-1.275915204;1.204660215;1.322767555;-1.46648375;-0.261777227;-0.614145859;1.355407305;-2.209826061;-0.0356274944999999;-0.0718580975000001;-0.437961543;-0.427209378;-0.0362306030000001;-0.4023340485;-0.3915818835;0.980680602586318;0.788543029000386;0.794037096878679;0;0;0;FALSE
>sp|Q9CYN9|RENR_MOUSE Renin receptor OS=Mus musculus GN=Atp6ap2 PE=1 SV=2;4;-0.166147982;0.137253316;0.104428076;-0.206414316;-0.725434025;-0.094046294;-0.008945366;0.764583983;-0.014447333;-0.05099312;-0.4097401595;0.3778193085;-0.036545787;-0.3952928265;0.3922666415;0.949149915769337;0.49761636861008;0.500805487519613;0;0;0;FALSE
>sp|P14206|RSSA_MOUSE 40S ribosomal protein SA OS=Mus musculus GN=Rpsa PE=1 SV=4;10;-0.179577426;0.193218651;-0.158194919;0.098124101;0.039631898;0.05504927;0.450002579;0.566236259;0.00682061249999999;-0.030035409;0.047340584;0.508119419;-0.0368560215;0.0405199715;0.5012988065;0.941949794060061;0.936193235782379;0.338373985297414;0;0;0;FALSE
>sp|Q6P9K9|NRX3A_MOUSE Neurexin-3 OS=Mus musculus GN=Nrxn3 PE=1 SV=2;22;0.243118999;-0.212781514;0.051248873;-0.094788236;-0.354568339;-0.255739908;-0.422763601;-0.130280026;0.0151687425;-0.0217696815;-0.3051541235;-0.2765218135;-0.036938424;-0.320322866;-0.291690556;0.942697715159219;0.538700742460181;0.574701769031695;0;0;0;FALSE
>tr|A2AVR9|A2AVR9_MOUSE Dynein light chain roadblock-type 1 OS=Mus musculus GN=Dynlrb1 PE=1 SV=1;1;-0.207419922;0.288744099;-0.031039094;0.038144232;-0.673012509;0.445881824;-1.063828147;-0.304904219;0.0406620885;0.003552569;-0.1135653425;-0.684366183;-0.0371095195;-0.154227431;-0.7250282715;0.952920470713747;0.806565799679084;0.270294423525685;0;0;0;FALSE
>sp|Q810C1|SLIK1_MOUSE SLIT and NTRK-like protein 1 OS=Mus musculus GN=Slitrk1 PE=2 SV=1;1;-0.452821197;0.491821161;0.016947867;-0.052499241;-0.601375238;-0.231707082;-0.129673574;-0.346284421;0.019499982;-0.017775687;-0.41654116;-0.2379789975;-0.037275669;-0.436041142;-0.2574789795;0.947507034237013;0.450738832124995;0.651680484847261;0;0;0;FALSE
>sp|Q8R0G9|NU133_MOUSE Nuclear pore complex protein Nup133 OS=Mus musculus GN=Nup133 PE=1 SV=2;7;-1.617734823;1.565286235;0.370796366;-0.498640101;-0.195669134;0.715110519;1.227027087;0.339837004;-0.0262242939999999;-0.0639218675;0.2597206925;0.7834320455;-0.0376975735000001;0.2859449865;0.8096563395;0.972239565175761;0.792319168893307;0.463737857234338;0;0;0;FALSE
>sp|Q9QZ08|NAGK_MOUSE N-acetyl-D-glucosamine kinase OS=Mus musculus GN=Nagk PE=1 SV=3;4;0.279967353;-0.249218912;-0.287620923;0.242214087;0.283339573;0.980467478;-0.014993206;0.503832373;0.0153742205;-0.022703418;0.6319035255;0.2444195835;-0.0380776385;0.616529305;0.229045363;0.947788620318378;0.30770288185781;0.695253090240471;0;0;0;FALSE
>sp|P48722|HS74L_MOUSE Heat shock 70 kDa protein 4L OS=Mus musculus GN=Hspa4l PE=1 SV=2;43.5;0.421239094;-0.432112102;-0.065218771;-0.022311359;1.133808756;0.339815845;-1.251339985;-0.702282097;-0.00543650400000001;-0.043765065;0.7368123005;-0.976811041;-0.038328561;0.7422488045;-0.971374537;0.94934215602574;0.242360972158479;0.13833358144007;0;0;0;FALSE
>tr|Q3UHJ3|Q3UHJ3_MOUSE Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 SV=1;29;0.563180514;-0.518023655;0.293450574;-0.325152489;0.380664868;1.13115702;-0.999515684;0.402313633;0.0225784295;-0.0158509575;0.755910944;-0.2986010255;-0.038429387;0.7333325145;-0.321179455;0.958465693152585;0.33689295911418;0.665518754046288;0;0;0;FALSE
>tr|G3X9K7|G3X9K7_MOUSE Protein Apol10b OS=Mus musculus GN=Apol10b PE=4 SV=1;1;1.374367355;-1.451131566;-0.192035512;0.037882275;1.241091465;-0.033737015;-0.310217647;-0.882712131;-0.0383821055;-0.0770766185;0.603677225;-0.596464889;-0.038694513;0.6420593305;-0.5580827835;0.968911245810613;0.524073593219657;0.578378750554023;0;0;0;FALSE
>sp|Q9ERN0|SCAM2_MOUSE Secretory carrier-associated membrane protein 2 OS=Mus musculus GN=Scamp2 PE=1 SV=1;1;-2.057406945;1.801122572;0.050061745;-0.385436867;-0.866653876;-0.629231253;0.210396177;-1.399195993;-0.1281421865;-0.167687561;-0.7479425645;-0.594399908;-0.0395453745;-0.619800378;-0.4662577215;0.974768706740906;0.623197715819284;0.710614449259415;0;0;0;FALSE
>sp|Q6P549|SHIP2_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus GN=Inppl1 PE=1 SV=1;2;-1.042003517;1.03233244;0.389194629;-0.478115845;-1.025326109;-0.0945931;1.248051959;0.610207164;-0.00483553849999996;-0.044460608;-0.5599596045;0.9291295615;-0.0396250695;-0.555124066;0.9339651;0.962554672499402;0.517227972904098;0.288655173117781;0;0;0;FALSE
>sp|O35382|EXOC4_MOUSE Exocyst complex component 4 OS=Mus musculus GN=Exoc4 PE=1 SV=2;13;-0.395096284;0.433337965;-0.398921293;0.357199686;0.174699897;0.193310048;1.286149925;-0.050177028;0.0191208405;-0.0208608035;0.1840049725;0.6179864485;-0.039981644;0.164884132;0.598865608;0.953353706960144;0.80974775912788;0.39371242604946;0;0;0;FALSE
>tr|Q3TPU5|Q3TPU5_MOUSE ER membrane protein complex subunit 8 OS=Mus musculus GN=Emc8 PE=1 SV=1;3;0.00647174;0.075925136;-0.052080848;0.054465473;-1.058846267;-1.521756149;-0.166200115;0.252153686;0.041198438;0.0011923125;-1.290301208;0.0429767855;-0.0400061255;-1.331499646;0.00177834749999999;0.938647156216911;0.0320667722482155;0.997269467622433;0;0;0;FALSE
>tr|Q0PD21|Q0PD21_MOUSE RAB33B, member of RAS oncogene family, isoform CRA_a OS=Mus musculus GN=Rab33b PE=1 SV=1;3;-0.313247041;0.36707215;-0.185128345;0.157480772;-0.106513167;0.31006642;-0.094848745;0.717638317;0.0269125545;-0.0138237865;0.1017766265;0.311394786;-0.040736341;0.074864072;0.2844822315;0.944743549327213;0.898686525764623;0.631227475105615;0;0;0;FALSE
>sp|Q91YP0|L2HDH_MOUSE L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=L2hgdh PE=1 SV=1;12;-1.772590509;2.043336687;0.418809865;-0.230095269;-1.195998103;-0.690626567;0.393239923;1.035683316;0.135373089;0.094357298;-0.943312335;0.7144616195;-0.041015791;-1.078685424;0.5790885305;0.97242999018121;0.377250619528271;0.628549551282654;0;0;0;FALSE
>sp|Q80TL1|ADCY2_MOUSE Adenylate cyclase type 2 OS=Mus musculus GN=Adcy2 PE=1 SV=2;3;0.740719374;-0.811935724;-0.507883758;0.352849294;0.062632857;0.249330945;-0.301995567;0.185525872;-0.035608175;-0.077517232;0.155981901;-0.0582348475;-0.041909057;0.191590076;-0.0226266725;0.952526920553816;0.786037833438428;0.974356215927109;0;0;0;FALSE
>sp|Q9CX56|PSMD8_MOUSE 26S proteasome non-ATPase regulatory subunit 8 OS=Mus musculus GN=Psmd8 PE=1 SV=2;6;0.527686371;-0.438763365;-0.381009317;0.384290559;0.39586973;0.184072976;0.391992134;0.709914208;0.044461503;0.00164062099999998;0.289971353;0.550953171;-0.042820882;0.24550985;0.506491668;0.943437742328562;0.685911935164848;0.412951438487391;0;0;0;FALSE
>tr|Q5FWJ9|Q5FWJ9_MOUSE Nuclear pore glycoprotein p62 OS=Mus musculus GN=Nup62 PE=1 SV=1;3;0.620954665;-0.568043062;-0.083782895;0.049321304;0.809238559;0.799299528;1.446661418;1.409111207;0.0264558015;-0.0172307955;0.8042690435;1.4278863125;-0.043686597;0.777813242;1.401430511;0.940871775933058;0.212728090462063;0.0423827373649621;0;0;0;FALSE
>sp|Q7TSK2|SEZ6_MOUSE Seizure protein 6 OS=Mus musculus GN=Sez6 PE=1 SV=1;1;-0.742726708;0.74820037;0.484467558;-0.566493664;-0.567773934;-0.479838031;0.426768535;0.850596751;0.002736831;-0.041013053;-0.5238059825;0.638682643;-0.043749884;-0.5265428135;0.635945812;0.950779330096939;0.466287655522342;0.383015268043485;0;0;0;FALSE
>sp|Q8BK63|KC1A_MOUSE Casein kinase I isoform alpha OS=Mus musculus GN=Csnk1a1 PE=1 SV=2;3;0.854290085;-1.079954254;-0.670137844;0.35624555;-0.189116831;-0.789418297;0.020406613;-0.555581788;-0.1128320845;-0.156946147;-0.489267564;-0.2675875875;-0.0441140625;-0.3764354795;-0.154755503;0.95635005672967;0.643063749848506;0.847919742665436;0;0;0;FALSE
>sp|Q64518|AT2A3_MOUSE Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Mus musculus GN=Atp2a3 PE=1 SV=3;8;-0.976782364;0.978109424;0.481559511;-0.568661574;-1.106140466;-1.716659014;-0.238051672;-1.915414581;0.000663530000000023;-0.0435510315;-1.41139974;-1.0767331265;-0.0442145615;-1.41206327;-1.0773966565;0.961648597398095;0.154787025620841;0.263460193554403;0;0;0;FALSE
>sp|Q7TMS5|ABCG2_MOUSE ATP-binding cassette sub-family G member 2 OS=Mus musculus GN=Abcg2 PE=1 SV=1;2;-0.14889077;0.231275367;0.492094035;-0.498647196;-0.049607021;-0.462705641;1.099046682;-0.281554013;0.0411922985;-0.00327658050000002;-0.256156331;0.4087463345;-0.044468879;-0.2973486295;0.367554036;0.948771576198278;0.669526490691462;0.599077710537646;0;0;0;FALSE
>sp|O54916|REPS1_MOUSE RalBP1-associated Eps domain-containing protein 1 OS=Mus musculus GN=Reps1 PE=1 SV=2;3;-1.417777419;1.36813762;0.769383694;-0.908365488;-0.75244562;-1.190351968;1.118899858;-0.963600111;-0.0248198995000001;-0.0694908970000001;-0.971398794;0.0776498735;-0.0446709975;-0.9465788945;0.102469773;0.969530581642083;0.429030138323599;0.930195213239285;0;0;0;FALSE
>tr|D1FNM8|D1FNM8_MOUSE Calcium-transporting ATPase OS=Mus musculus GN=Atp2b4 PE=2 SV=2;1;-1.433376956;1.322816896;1.075299343;-1.275282131;-1.149717762;-0.226949453;0.551821618;0.071884559;-0.05528003;-0.099991394;-0.6883336075;0.3118530885;-0.044711364;-0.6330535775;0.3671331185;0.968724527920367;0.583000015138263;0.748405846339321;0;0;0;FALSE
>sp|Q8BJS7|MAP10_MOUSE Microtubule-associated protein 10 OS=Mus musculus GN=Map10 PE=1 SV=1;1;0.972880437;-0.973682996;-0.109864146;0.019440256;-0.01509752;-0.38491185;-1.263138441;-0.3398709;-0.000401279499999963;-0.045211945;-0.200004685;-0.8015046705;-0.0448106655;-0.1996034055;-0.801103391;0.953788026104945;0.796766415274232;0.318120927073037;0;0;0;FALSE
>sp|Q60605|MYL6_MOUSE Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3;9;0.304577679;-0.247705956;-0.265970474;0.231176314;0.158615243;0.817967907;-0.464703325;-0.206120976;0.0284358615;-0.01739708;0.488291575;-0.3354121505;-0.0458329415;0.4598557135;-0.363848012;0.935282403147857;0.426058259232693;0.525293200228828;0;0;0;FALSE
>tr|F6W646|F6W646_MOUSE DENN domain-containing protein 4B (Fragment) OS=Mus musculus GN=Dennd4b PE=1 SV=1;1;-1.944471376;1.697240228;0.691380134;-1.031376316;-0.587081944;0.522812688;0.345492359;-1.738017328;-0.123615574;-0.169998091;-0.032134628;-0.6962624845;-0.046382517;0.091480946;-0.5726469105;0.972926629090412;0.946638920181098;0.677156266059404;0;0;0;FALSE
>sp|P70208|PLXA3_MOUSE Plexin-A3 OS=Mus musculus GN=Plxna3 PE=1 SV=2;5;1.708554925;-1.735849118;-0.354866117;0.234645448;0.431415022;0.195442096;1.011190055;0.687884664;-0.0136470965;-0.0601103345;0.313428559;0.8495373595;-0.046463238;0.3270756555;0.863184456;0.96564387146702;0.762495160799601;0.434059838734196;0;0;0;FALSE
>sp|Q9Z1G4|VPP1_MOUSE V-type proton ATPase 116 kDa subunit a isoform 1 OS=Mus musculus GN=Atp6v0a1 PE=1 SV=3;29;0.945383226;-0.918237486;-0.005957804;-0.061244626;0.055408393;0.626788733;0.148861698;0.839863004;0.01357287;-0.033601215;0.341098563;0.494362351;-0.047174085;0.327525693;0.480789481;0.949712831743321;0.663645290909733;0.526484131569938;0;0;0;FALSE
>sp|P70195|PSB7_MOUSE Proteasome subunit beta type-7 OS=Mus musculus GN=Psmb7 PE=1 SV=1;5;0.110828832;-0.062006922;-0.938651598;0.89293656;1.005324809;0.810192631;0.354246173;1.151087605;0.024410955;-0.022857519;0.90775872;0.752666889;-0.047268474;0.883347765;0.728255934;0.948848342679713;0.253478605646593;0.339336121823524;0;0;0;FALSE
>sp|P63280|UBC9_MOUSE SUMO-conjugating enzyme UBC9 OS=Mus musculus GN=Ube2i PE=1 SV=1;3;0.725313865;-0.711977132;-0.208596114;0.126949517;-0.686638422;-0.399033876;1.166774455;0.112789326;0.00666836649999997;-0.0408232985;-0.542836149;0.6397818905;-0.047491665;-0.5495045155;0.633113524;0.946001996093951;0.443165794279484;0.380195746400947;0;0;0;FALSE
>sp|Q8VDZ4|ZDHC5_MOUSE Palmitoyltransferase ZDHHC5 OS=Mus musculus GN=Zdhhc5 PE=1 SV=1;3;-1.302484083;1.257200614;0.152875524;-0.293176854;-0.663822696;-0.973487276;-0.045388221;0.777168287;-0.0226417345;-0.070150665;-0.818654986;0.365890033;-0.0475089305;-0.7960132515;0.3885317675;0.957682937360259;0.387176667090262;0.666456152870592;0;0;0;FALSE
>tr|Q543S0|Q543S0_MOUSE Prolargin OS=Mus musculus GN=Prelp PE=1 SV=1;1;-0.14383654;0.181872524;1.095069151;-1.152729215;-1.912072952;-0.943626958;-0.947915423;-1.380238203;0.019017992;-0.028830032;-1.427849955;-1.164076813;-0.047848024;-1.446867947;-1.183094805;0.954687114520757;0.117385394534411;0.188018312943476;0;0;0;FALSE
>sp|P98197|AT11A_MOUSE Probable phospholipid-transporting ATPase IH OS=Mus musculus GN=Atp11a PE=1 SV=1;2;-0.754739801;0.784633647;-0.450963601;0.384682225;0.239271515;-0.08947477;-0.037996801;0.106412329;0.014946923;-0.033140688;0.0748983725;0.034207764;-0.048087611;0.0599514495;0.019260841;0.944585205522355;0.930951257586424;0.977786028848918;0;0;0;FALSE
>tr|E9PVN6|E9PVN6_MOUSE Protein Gm20498 OS=Mus musculus GN=Gm20498 PE=1 SV=1;1;-0.355195151;0.400375743;0.033038259;-0.084753237;-0.694531967;-0.424590338;-0.607895814;-1.288397886;0.022590296;-0.025857489;-0.5595611525;-0.94814685;-0.048447785;-0.5821514485;-0.970737146;0.932129823367386;0.32359345323696;0.119468716874314;0;0;0;FALSE
>sp|Q9QYK7|RNF11_MOUSE RING finger protein 11 OS=Mus musculus GN=Rnf11 PE=1 SV=1;1;-0.359091997;0.411422512;-0.142708089;0.097153993;-1.086024233;-0.353372481;-0.125754304;-0.57847183;0.0261652575;-0.022777048;-0.719698357;-0.352113067;-0.0489423055;-0.7458636145;-0.3782783245;0.933491146162211;0.228302825911533;0.525038881964156;0;0;0;FALSE
>tr|A0A0A6YY18|A0A0A6YY18_MOUSE Inositol hexakisphosphate kinase 2 OS=Mus musculus GN=Ip6k2 PE=1 SV=1;1;1.443173726;-1.52978714;-0.295960702;0.111388505;1.743837114;0.014750791;-0.766140274;-0.592529719;-0.0433067070000001;-0.0922860985;0.8792939525;-0.6793349965;-0.0489793915;0.9226006595;-0.6360282895;0.963374736194329;0.399511452097705;0.556041403741598;0;0;0;FALSE
>sp|Q62417|SRBS1_MOUSE Sorbin and SH3 domain-containing protein 1 OS=Mus musculus GN=Sorbs1 PE=1 SV=2;21;-1.208063651;1.154861858;-0.304930521;0.153650035;-1.169344969;-0.944837979;-0.325298215;-0.686131862;-0.0266008965;-0.075640243;-1.057091474;-0.5057150385;-0.0490393465;-1.0304905775;-0.479114142;0.952786496630497;0.237615510981358;0.567605127707127;0;0;0;FALSE
>sp|Q80TS3|AGRL3_MOUSE Adhesion G protein-coupled receptor L3 OS=Mus musculus GN=Adgrl3 PE=1 SV=3;9;-0.725270598;0.735661399;0.866204613;-0.954717148;-1.09407573;-0.231691089;-0.29282877;-0.352039902;0.0051954005;-0.0442562675;-0.6628834095;-0.322434336;-0.049451668;-0.66807881;-0.3276297365;0.952956839957059;0.435790946907074;0.697479663970237;0;0;0;FALSE
>tr|A0A0U1RNZ7|A0A0U1RNZ7_MOUSE Teneurin-4 (Fragment) OS=Mus musculus GN=Tenm4 PE=4 SV=1;1;1.010688947;-1.011972593;-0.083937798;-0.016565536;-0.260179343;0.301267793;-0.86800921;0.716987611;-0.000641823000000041;-0.050251667;0.020544225;-0.0755107995;-0.049609844;0.021186048;-0.0748689765;0.954525726598831;0.980569551583971;0.931430184039827;0;0;0;FALSE
>sp|P54923|ADPRH_MOUSE [Protein ADP-ribosylarginine] hydrolase OS=Mus musculus GN=Adprh PE=1 SV=1;6;-0.008453849;0.094022741;0.256952541;-0.270682862;-0.182494214;-0.474981708;0.51726576;-0.626559327;0.042784446;-0.00686516050000002;-0.328737961;-0.0546467835;-0.0496496065;-0.371522407;-0.0974312295;0.93455538321645;0.544316028745707;0.872072713299448;0;0;0;FALSE
>sp|Q78T54|VMA21_MOUSE Vacuolar ATPase assembly integral membrane protein Vma21 OS=Mus musculus GN=Vma21 PE=1 SV=1;1;-0.0086849;0.074912744;0.288705241;-0.32394712;-0.588770755;-0.111369439;-0.444860174;-0.233191039;0.033113922;-0.0176209395;-0.350070097;-0.3390256065;-0.0507348615;-0.383184019;-0.3721395285;0.924792561474335;0.483714233704718;0.495973533635856;0;0;0;FALSE
>sp|Q9CQ85|TIM22_MOUSE Mitochondrial import inner membrane translocase subunit Tim22 OS=Mus musculus GN=Timm22 PE=1 SV=1;2;-0.667122077;0.71099697;-0.037331068;-0.020643464;-0.287435706;0.759220008;0.748519859;-0.102233717;0.0219374465;-0.028987266;0.235892151;0.323143071;-0.0509247125;0.2139547045;0.3012056245;0.943570732967561;0.766865648599419;0.677360563188922;0;0;0;FALSE
>sp|A2ALS5|RPGP1_MOUSE Rap1 GTPase-activating protein 1 OS=Mus musculus GN=Rap1gap PE=1 SV=2;13;0.500742689;-0.426914611;-0.084733983;0.05594053;0.101360127;-0.334073519;-1.310105595;-0.489922978;0.036914039;-0.0143967265;-0.116356696;-0.9000142865;-0.0513107655;-0.153270735;-0.9369283255;0.932780680593579;0.801480216912176;0.153683016326198;0;0;0;FALSE
>tr|Q3UPX0|Q3UPX0_MOUSE Crystallin, mu OS=Mus musculus GN=Crym PE=1 SV=1;14;0.991068781;-0.961951995;-0.423843398;0.35028937;0.402527535;-0.69661304;1.203169898;0.322012369;0.014558393;-0.036777014;-0.1470427525;0.7625911335;-0.051335407;-0.1616011455;0.7480327405;0.951679744235707;0.848895143154617;0.390230696420037;0;0;0;FALSE
